Dep_ID,Video_ID,Response,Site,Site_Rep,Dep_Event,Ipad_ID,Loom_Speed,Group_Size,Percentage_Missing
1,1,No,1,1,1,1,4.0,6,0.0
1,2,No,1,1,2,1,1.0,11,0.0
1,3,No,1,1,3,1,0.5,11,18.18181818181818
1,4,No,1,1,4,1,1.0,6,16.66666666666666
1,5,No,1,1,5,1,2.0,10,0.0
1,6,No,1,1,6,1,1.0,10,0.0
1,7,No,1,1,7,1,7.0,10,0.0
1,9,No,1,1,9,1,0.5,4,0.0
1,11,No,1,1,11,1,6.0,11,18.18181818181818
1,12,No,1,1,12,1,1.0,10,10.0
1,14,Yes,1,1,14,1,8.0,12,8.333333333333332
1,15,Yes,1,1,15,1,8.0,17,11.76470588235294
1,16,Yes,1,1,16,1,6.0,17,29.41176470588236
1,17,No,1,1,17,1,0.5,10,10.0
1,18,No,1,1,18,1,0.5,10,10.0
1,19,No,1,1,19,1,2.0,12,0.0
1,20,Yes,1,1,20,1,6.0,12,25.0
1,23,Yes,1,1,21,1,6.0,7,0.0
1,26,Yes,1,1,24,1,6.0,8,0.0
1,28,No,1,1,26,1,1.0,10,10.0
1,29,Yes,1,1,27,1,8.0,7,28.57142857142857
1,30,No,1,1,28,1,2.0,10,0.0
1,31,No,1,1,29,1,1.0,7,0.0
1,33,Yes,1,1,31,1,6.0,10,0.0
1,34,No,1,1,32,1,0.5,8,0.0
2,40,No,2,1,1,1,1.0,8,0.0
2,41,Yes,2,1,2,1,2.0,8,25.0
2,42,Yes,2,1,3,1,4.0,7,0.0
2,43,Yes,2,1,4,1,6.0,8,0.0
2,44,No,2,1,5,1,1.0,8,12.5
2,45,No,2,1,6,1,1.0,9,22.22222222222222
2,48,Yes,2,1,9,1,4.0,9,11.11111111111111
2,50,No,2,1,11,1,6.0,6,16.66666666666666
2,52,No,2,1,13,1,6.0,8,0.0
2,53,No,2,1,14,1,0.5,6,0.0
2,54,Yes,2,1,15,1,6.0,7,14.28571428571428
2,55,No,2,1,16,1,1.0,6,0.0
2,57,No,2,1,17,1,0.5,5,0.0
2,58,Yes,2,1,18,1,2.0,8,0.0
2,59,No,2,1,19,1,2.0,5,0.0
2,60,Yes,2,1,20,1,6.0,9,22.22222222222222
2,61,Yes,2,1,21,1,6.0,7,0.0
2,62,Yes,2,1,22,1,4.0,7,14.28571428571428
2,63,No,2,1,23,1,6.0,5,0.0
