Variable,Estimate,Std_Error,z_value,p_value,R2_marginal
Orientation_Angle,-0.05956733488396122,0.12068202212975496,-0.493589134758743,0.6215963757257084,5.694459182023676e-4
Viewing_Angle,-0.6639448419418585,0.10525303323411092,-6.308082736818306,2.8251319076314146e-10,0.0662926708319758
Distance_to_Coral,0.6386086767328568,0.11775197772962685,5.423337162108492,5.849650484936378e-8,0.06343931277721662
Distance_to_Stimulus,-1.0630349296077748,0.14493466879039926,-7.334580045476271,2.2241780278631896e-13,0.15229941460267699
Loom_Speed,1.25495180086471,0.14567941649819818,8.614475751145198,7.026235245518694e-18,0.18610036796169233
Neighbor_Proximity,-0.6510353278017139,0.6515407542789975,-0.9992242596123663,0.3176860664016533,0.06397733954848192
Species,-1.657007284878721,0.3674320187004307,-4.509697578178912,6.492010680497679e-6,0.1107993752666872
Trial_Event,-0.18099239475957815,0.11949140449235801,-1.5146896592980743,0.12985101435518923,0.005270885216232883
N,-0.37016384441361144,0.1504481747901089,-2.4604076781259,0.013877927227717465,0.021476294465220546
NAS,0.035243949259093126,0.16261464001592255,0.2167329414844948,0.8284164745273258,1.989074469707407e-4
